Date,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily
Feb 15, 2020,0,0,,0,0,0,
Feb 16, 2020,0,0,,0,0,0,
Feb 17, 2020,0,0,,0,0,0,
Feb 18, 2020,0,0,,0,0,0,
Feb 19, 2020,0,0,,0,0,0,
Feb 20, 2020,0,0,,0,0,0,
Feb 21, 2020,0,0,,0,0,0,
Feb 22, 2020,0,0,,0,0,0,
Feb 23, 2020,0,0,,0,0,0,
Feb 24, 2020,0,0,,0,0,0,
Feb 25, 2020,0,0,,0,0,0,
Feb 26, 2020,0,0,,0,0,0,
Feb 27, 2020,0,0,,0,0,0,
Feb 28, 2020,0,0,,0,0,0,
Feb 29, 2020,0,0,,0,0,0,
Mar 01, 2020,0,0,,0,0,0,
Mar 02, 2020,2,2,,2,0,0,
Mar 03, 2020,2,2,0,2,0,0,0
Mar 04, 2020,2,2,0,2,0,0,0
Mar 05, 2020,2,2,0,2,0,0,0
Mar 06, 2020,4,4,2,4,0,0,0
Mar 07, 2020,4,4,0,4,0,0,0
Mar 08, 2020,6,6,2,6,0,0,0
Mar 09, 2020,19,19,13,19,0,0,0
Mar 10, 2020,27,27,8,25,0,0,0
Mar 11, 2020,34,34,7,31,1,1,1
Mar 12, 2020,34,34,0,30,1,1,0
Mar 13, 2020,69,69,35,60,4,4,3
Mar 14, 2020,96,96,27,83,5,5,1
Mar 15, 2020,117,117,21,104,5,5,0
Mar 16, 2020,134,134,17,121,5,5,0
Mar 17, 2020,172,172,38,156,7,7,2
Mar 18, 2020,227,227,55,197,19,19,12
Mar 19, 2020,309,309,82,269,25,25,6
Mar 20, 2020,369,369,60,320,32,32,7
Mar 21, 2020,450,450,81,392,38,38,6
Mar 22, 2020,514,514,64,437,48,48,10
Mar 23, 2020,579,579,65,500,49,49,1
Mar 24, 2020,686,686,107,601,55,55,6
Mar 25, 2020,790,790,104,701,58,58,3
Mar 26, 2020,893,893,103,780,78,78,20
Mar 27, 2020,1046,1046,153,913,87,87,9
Mar 28, 2020,1155,1155,109,994,102,102,15
Mar 29, 2020,1285,1285,130,1107,114,114,12
Mar 30, 2020,1414,1414,129,1217,122,122,8
Mar 31, 2020,1528,1528,114,1311,136,136,14
Apr 01, 2020,1677,1677,149,1417,157,157,21
Apr 02, 2020,1790,1790,113,1508,170,170,13
Apr 03, 2020,1986,1986,196,1671,181,181,11
Apr 04, 2020,2092,2092,106,1751,191,191,10
Apr 05, 2020,2273,2273,181,1911,198,198,7
Apr 06, 2020,2491,2491,218,2090,209,209,11
Apr 07, 2020,2738,2738,247,2313,221,221,12
Apr 08, 2020,2956,2956,218,2494,240,240,19
Apr 09, 2020,3293,3293,337,2761,280,280,40
Apr 10, 2020,3512,3512,219,2924,306,306,26
Apr 11, 2020,3842,3842,330,3229,327,327,21
Apr 12, 2020,4241,4241,399,3509,373,373,46
Apr 13, 2020,4557,4557,316,3778,399,399,26
Apr 14, 2020,4839,4839,282,3954,459,459,60
Apr 15, 2020,5136,5136,297,4221,469,469,10
Apr 16, 2020,5516,5516,380,4472,496,496,27
Apr 17, 2020,5923,5923,407,4796,520,520,24
Apr 18, 2020,6248,6248,325,5082,535,535,15
Apr 19, 2020,6575,6575,327,5307,582,582,47
Apr 20, 2020,6760,6760,185,5423,590,590,8
Apr 21, 2020,7135,7135,375,5677,616,616,26
Apr 22, 2020,7418,7418,283,5870,635,635,19
Apr 23, 2020,7775,7775,357,6168,647,647,12
Apr 24, 2020,8211,8211,436,6520,689,689,42
Apr 25, 2020,8607,8607,396,6845,720,720,31
Apr 26, 2020,8882,8882,275,7032,743,743,23
Apr 27, 2020,9096,9096,214,7180,765,765,22
Apr 28, 2020,9511,9511,415,7484,773,773,8
Apr 29, 2020,9771,9771,260,7596,784,784,11
Apr 30, 2020,10118,10118,347,7804,792,792,8
May 01, 2020,10551,10551,433,8160,800,800,8
May 02, 2020,10843,10843,292,8347,831,831,31
May 03, 2020,11192,11192,349,8471,845,845,14
May 04, 2020,11587,11587,395,8769,864,864,19
May 05, 2020,12071,12071,484,9002,872,872,8
May 06, 2020,12438,12438,367,9226,895,895,23
May 07, 2020,12776,12776,338,9465,930,930,35
May 08, 2020,13112,13112,336,9675,943,943,13
May 09, 2020,13645,13645,533,10079,959,959,16
May 10, 2020,14032,14032,387,10361,973,973,14
May 11, 2020,14265,14265,233,10393,991,991,18
May 12, 2020,14749,14749,484,10679,1007,1007,16
May 13, 2020,15438,15438,689,11123,1028,1028,21
May 14, 2020,16006,16006,568,11445,1043,1043,15
May 15, 2020,16496,16496,490,11617,1076,1076,33
May 16, 2020,17025,17025,529,12025,1089,1089,13
May 17, 2020,17514,17514,489,12237,1148,1148,59
May 18, 2020,18010,18010,496,12495,1191,1191,43
May 19, 2020,18496,18496,486,12808,1221,1221,30
May 20, 2020,19189,19189,693,13372,1242,1242,21
May 21, 2020,20162,20162,973,14046,1278,1278,36
May 22, 2020,20796,20796,634,14413,1326,1326,48
May 23, 2020,21745,21745,949,15145,1351,1351,25
May 24, 2020,22271,22271,526,15497,1372,1372,21
May 25, 2020,22750,22750,479,15717,1391,1391,19
May 26, 2020,23165,23165,415,15870,1418,1418,27
May 27, 2020,23851,23851,686,16321,1473,1473,55
May 28, 2020,24538,24538,687,16802,1496,1496,23
May 29, 2020,25216,25216,678,17204,1520,1520,24
May 30, 2020,25773,25773,557,17185,1573,1573,53
May 31, 2020,26473,26473,700,17552,1613,1613,40
Jun 01, 2020,26940,26940,467,17662,1641,1641,28
Jun 02, 2020,27549,27549,609,17951,1663,1663,22
Jun 03, 2020,28233,28233,684,18129,1698,1698,35
Jun 04, 2020,28818,28818,585,18205,1721,1721,23
Jun 05, 2020,29521,29521,703,18308,1770,1770,49
Jun 06, 2020,30514,30514,993,18806,1801,1801,31
Jun 07, 2020,31186,31186,672,18837,1851,1851,50
Jun 08, 2020,32033,32033,847,19246,1883,1883,32
Jun 09, 2020,33076,33076,1043,19739,1923,1923,40
Jun 10, 2020,34316,34316,1240,20228,1959,1959,36
Jun 11, 2020,35295,35295,979,20659,2000,2000,41
Jun 12, 2020,36406,36406,1111,21145,2048,2048,48
Jun 13, 2020,37420,37420,1014,21553,2091,2091,43
Jun 14, 2020,38277,38277,857,21612,2134,2134,43
Jun 15, 2020,39294,39294,1017,21973,2198,2198,64
Jun 16, 2020,40400,40400,1106,22466,2231,2231,33
Jun 17, 2020,41431,41431,1031,22912,2276,2276,45
Jun 18, 2020,42762,42762,1331,23625,2339,2339,63
Jun 19, 2020,43803,43803,1041,24081,2373,2373,34
Jun 20, 2020,45029,45029,1226,24717,2429,2429,56
Jun 21, 2020,45891,45891,862,25022,2465,2465,36
Jun 22, 2020,46845,46845,954,25610,2500,2500,35
Jun 23, 2020,47896,47896,1051,26120,2535,2535,35
Jun 24, 2020,49009,49009,1113,26778,2573,2573,38
Jun 25, 2020,50187,50187,1178,27118,2620,2620,47
Jun 26, 2020,51427,51427,1240,27411,2683,2683,63
Jun 27, 2020,52812,52812,1385,28183,2720,2720,37
Jun 28, 2020,54010,54010,1198,28320,2754,2754,34
Jun 29, 2020,55092,55092,1082,28487,2805,2805,51
Jun 30, 2020,56385,56385,1293,28703,2876,2876,71
Jul 01, 2020,57770,57770,1385,29241,2934,2934,58
Jul 02, 2020,59394,59394,1624,29740,2987,2987,53
Jul 03, 2020,60695,60695,1301,30091,3036,3036,49
Jul 04, 2020,62142,62142,1447,30834,3089,3089,53
Jul 05, 2020,63749,63749,1607,31473,3171,3171,82
Jul 06, 2020,64958,64958,1209,31798,3241,3241,70
Jul 07, 2020,66226,66226,1268,32132,3309,3309,68
Jul 08, 2020,68079,68079,1853,33135,3359,3359,50
Jul 09, 2020,70736,70736,2657,34668,3417,3417,58
Jul 10, 2020,72347,72347,1611,35349,3469,3469,52
Jul 11, 2020,74018,74018,1671,35764,3535,3535,66
Jul 12, 2020,75699,75699,1681,36455,3606,3606,71
Jul 13, 2020,76981,76981,1282,36636,3656,3656,50
Jul 14, 2020,78572,78572,1591,37226,3710,3710,54
Jul 15, 2020,80094,80094,1522,37247,3797,3797,87
Jul 16, 2020,81668,81668,1574,37450,3873,3873,76
Jul 17, 2020,83130,83130,1462,37339,3957,3957,84
Jul 18, 2020,84882,84882,1752,37598,4016,4016,59
Jul 19, 2020,86521,86521,1639,36977,4143,4143,127
Jul 20, 2020,88214,88214,1693,36998,4239,4239,96
Jul 21, 2020,89869,89869,1655,37083,4320,4320,81
Jul 22, 2020,91751,91751,1882,37037,4459,4459,139
Jul 23, 2020,93657,93657,1906,36917,4576,4576,117
Jul 24, 2020,95418,95418,1761,36808,4665,4665,89
Jul 25, 2020,97286,97286,1868,37218,4714,4714,49
Jul 26, 2020,98778,98778,1492,37342,4781,4781,67
Jul 27, 2020,100303,100303,1525,37292,4838,4838,57
Jul 28, 2020,102051,102051,1748,36611,4901,4901,63
Jul 29, 2020,104432,104432,2381,37319,4975,4975,74
Jul 30, 2020,106336,106336,1904,36986,5058,5058,83
Jul 31, 2020,108376,108376,2040,37338,5131,5131,73
Aug 01, 2020,109936,109936,1560,36824,5193,5193,62
Aug 02, 2020,111455,111455,1519,37244,5236,5236,43
Aug 03, 2020,113134,113134,1679,37595,5302,5302,66
Aug 04, 2020,115056,115056,1922,37618,5388,5388,86
Aug 05, 2020,116871,116871,1815,37530,5452,5452,64
Aug 06, 2020,118753,118753,1882,37587,5521,5521,69
Aug 07, 2020,121226,121226,2473,38076,5593,5593,72
Aug 08, 2020,123503,123503,2277,38539,5658,5658,65
Aug 09, 2020,125396,125396,1893,38721,5723,5723,65
Aug 10, 2020,127083,127083,1687,39082,5765,5765,42
Aug 11, 2020,128776,128776,1693,39242,5824,5824,59
Aug 12, 2020,130718,130718,1942,39017,5903,5903,79
Aug 13, 2020,132816,132816,2098,39290,5968,5968,65
Aug 14, 2020,135123,135123,2307,39484,6021,6021,53
Aug 15, 2020,137468,137468,2345,40076,6071,6071,50
Aug 16, 2020,139549,139549,2081,40296,6150,6150,79
Aug 17, 2020,141370,141370,1821,40705,6207,6207,57
Aug 18, 2020,143043,143043,1673,40460,6277,6277,70
Aug 19, 2020,144945,144945,1902,39942,6346,6346,69
Aug 20, 2020,147211,147211,2266,40119,6418,6418,72
Aug 21, 2020,149408,149408,2197,39917,6500,6500,82
Aug 22, 2020,151498,151498,2090,39706,6594,6594,94
Aug 23, 2020,153535,153535,2037,39355,6680,6680,86
Aug 24, 2020,155412,155412,1877,37593,6759,6759,79
Aug 25, 2020,157859,157859,2447,38134,6858,6858,99
Aug 26, 2020,160165,160165,2306,37812,6944,6944,86
Aug 27, 2020,162884,162884,2719,37245,7064,7064,120
Aug 28, 2020,165887,165887,3003,37818,7169,7169,105
Aug 29, 2020,169195,169195,3308,39132,7261,7261,92
Aug 30, 2020,172053,172053,2858,40525,7343,7343,82
Aug 31, 2020,174796,174796,2743,41420,7417,7417,74
Sep 01, 2020,177571,177571,2775,42009,7505,7505,88
Sep 02, 2020,180646,180646,3075,43059,7616,7616,111
Sep 03, 2020,184268,184268,3622,44463,7750,7750,134
Sep 04, 2020,187537,187537,3269,45524,7832,7832,82
Sep 05, 2020,190665,190665,3128,46324,7940,7940,108
Sep 06, 2020,194109,194109,3444,47509,8025,8025,85
Sep 07, 2020,196989,196989,2880,48207,8130,8130,105
Sep 08, 2020,200035,200035,3046,48847,8230,8230,100
Sep 09, 2020,203342,203342,3307,49806,8336,8336,106
Sep 10, 2020,207203,207203,3861,51237,8456,8456,120
Sep 11, 2020,210940,210940,3737,52179,8544,8544,88
Sep 12, 2020,214746,214746,3806,53638,8650,8650,106
Sep 13, 2020,218382,218382,3636,54649,8723,8723,73
Sep 14, 2020,221523,221523,3141,54277,8841,8841,118
Sep 15, 2020,225030,225030,3507,55000,8965,8965,124
Sep 16, 2020,228993,228993,3963,55792,9100,9100,135
Sep 17, 2020,232628,232628,3635,56720,9222,9222,122
Sep 18, 2020,236519,236519,3891,56409,9336,9336,114
Sep 19, 2020,240687,240687,4168,56889,9448,9448,112
Sep 20, 2020,244676,244676,3989,57796,9553,9553,105
Sep 21, 2020,248852,248852,4176,58378,9677,9677,124
Sep 22, 2020,252923,252923,4071,58788,9837,9837,160
Sep 23, 2020,257388,257388,4465,59453,9977,9977,140
Sep 24, 2020,262022,262022,4634,60064,10105,10105,128
Sep 25, 2020,266845,266845,4823,60431,10218,10218,113
Sep 26, 2020,271339,271339,4494,61628,10308,10308,90
Sep 27, 2020,275213,275213,3874,61813,10386,10386,78
Sep 28, 2020,278722,278722,3509,61379,10473,10473,87
Sep 29, 2020,282724,282724,4002,61686,10601,10601,128
Sep 30, 2020,287008,287008,4284,61321,10740,10740,139
Oct 01, 2020,291182,291182,4174,61839,10856,10856,116
Oct 02, 2020,295499,295499,4317,63187,10972,10972,116
Oct 03, 2020,299506,299506,4007,63399,11055,11055,83
Oct 04, 2020,303498,303498,3992,63894,11151,11151,96
Oct 05, 2020,307120,307120,3622,63274,11253,11253,102
Oct 06, 2020,311176,311176,4056,63365,11374,11374,121
Oct 07, 2020,315714,315714,4538,63951,11472,11472,98
Oct 08, 2020,320564,320564,4850,64924,11580,11580,108
Oct 09, 2020,324658,324658,4094,65314,11677,11677,97
Oct 10, 2020,328952,328952,4294,65706,11765,11765,88
Oct 11, 2020,333449,333449,4497,66578,11844,11844,79
Oct 12, 2020,336716,336716,3267,66262,11935,11935,91
Oct 13, 2020,340622,340622,3906,65299,12027,12027,92
Oct 14, 2020,344749,344749,4127,64742,12156,12156,129
Oct 15, 2020,349160,349160,4411,63231,12268,12268,112
Oct 16, 2020,353461,353461,4301,63570,12347,12347,79
Oct 17, 2020,357762,357762,4301,63739,12431,12431,84
Oct 18, 2020,361867,361867,4105,64032,12511,12511,80
Oct 19, 2020,365240,365240,3373,63380,12617,12617,106
Oct 20, 2020,368842,368842,3602,62455,12734,12734,117
Oct 21, 2020,373109,373109,4267,62743,12857,12857,123
Oct 22, 2020,377541,377541,4432,63576,12959,12959,102
Oct 23, 2020,381910,381910,4369,63733,13077,13077,118
Oct 24, 2020,385980,385980,4070,63556,13205,13205,128
Oct 25, 2020,389712,389712,3732,62649,13299,13299,94
Oct 26, 2020,392934,392934,3222,61851,13411,13411,112
Oct 27, 2020,396454,396454,3520,60694,13512,13512,101
Oct 28, 2020,400483,400483,4029,61078,13612,13612,100
Oct 29, 2020,404048,404048,3565,60569,13701,13701,89
Oct 30, 2020,406945,406945,2897,58868,13782,13782,81
Oct 31, 2020,410088,410088,3143,58418,13869,13869,87
Nov 01, 2020,412784,412784,2696,56899,13943,13943,74
Nov 02, 2020,415402,415402,2618,55792,14044,14044,101
Nov 03, 2020,418375,418375,2973,54732,14146,14146,102
Nov 04, 2020,421731,421731,3356,54190,14259,14259,113
Nov 05, 2020,425796,425796,4065,54306,14348,14348,89
Nov 06, 2020,429574,429574,3778,54427,14442,14442,94
Nov 07, 2020,433836,433836,4262,54879,14540,14540,98
Nov 08, 2020,437716,437716,3880,54804,14614,14614,74
Nov 09, 2020,440569,440569,2853,53614,14689,14689,75
Nov 10, 2020,444348,444348,3779,53846,14761,14761,72
Nov 11, 2020,448118,448118,3770,54300,14836,14836,75
Nov 12, 2020,452291,452291,4173,55274,14933,14933,97
Nov 13, 2020,457735,457735,5444,57604,15037,15037,104
Nov 14, 2020,463007,463007,5272,59765,15148,15148,111
Nov 15, 2020,467113,467113,4106,59911,15211,15211,63
Nov 16, 2020,470648,470648,3535,59909,15296,15296,85
Nov 17, 2020,474455,474455,3807,60426,15393,15393,97
Nov 18, 2020,478720,478720,4265,60870,15503,15503,110
Nov 19, 2020,483518,483518,4798,61306,15600,15600,97
Nov 20, 2020,488310,488310,4792,62080,15678,15678,78
Nov 21, 2020,493308,493308,4998,63579,15774,15774,96
Nov 22, 2020,497668,497668,4360,63596,15884,15884,110
Nov 23, 2020,502110,502110,4442,63722,16002,16002,118
Nov 24, 2020,506302,506302,4192,64878,16111,16111,109
Nov 25, 2020,511836,511836,5534,65804,16225,16225,114
Nov 26, 2020,516753,516753,4917,66752,16352,16352,127
Nov 27, 2020,522581,522581,5828,68604,16521,16521,169
Nov 28, 2020,527999,527999,5418,69370,16646,16646,125
Nov 29, 2020,534266,534266,6267,71658,16815,16815,169
Nov 30, 2020,538883,538883,4617,71420,16945,16945,130
Dec 01, 2020,543975,543975,5092,72015,17081,17081,136
Dec 02, 2020,549508,549508,5533,73429,17199,17199,118
Dec 03, 2020,557877,557877,8369,77969,17355,17355,156
Dec 04, 2020,563680,563680,5803,80023,17479,17479,124
Dec 05, 2020,569707,569707,6027,81669,17589,17589,110
Dec 06, 2020,575796,575796,6089,83285,17740,17740,151
Dec 07, 2020,581550,581550,5754,84481,17867,17867,127
Dec 08, 2020,586842,586842,5292,85345,18000,18000,133
Dec 09, 2020,592900,592900,6058,87284,18171,18171,171
Dec 10, 2020,598933,598933,6033,88622,18336,18336,165
Dec 11, 2020,605243,605243,6310,89846,18511,18511,175
Dec 12, 2020,611631,611631,6388,91602,18653,18653,142
Dec 13, 2020,617820,617820,6189,93165,18819,18819,166
Dec 14, 2020,623309,623309,5489,93396,18956,18956,137
Dec 15, 2020,629429,629429,6120,93662,19111,19111,155
Dec 16, 2020,636154,636154,6725,94922,19248,19248,137
Dec 17, 2020,643508,643508,7354,97139,19390,19390,142
Dec 18, 2020,650197,650197,6689,98688,19514,19514,124
Dec 19, 2020,657948,657948,7751,102029,19659,19659,145
Dec 20, 2020,664930,664930,6982,103239,19880,19880,221
Dec 21, 2020,671778,671778,6848,104809,20085,20085,205
Dec 22, 2020,678125,678125,6347,105146,20257,20257,172
Dec 23, 2020,685639,685639,7514,106528,20408,20408,151
Dec 24, 2020,692838,692838,7199,108269,20589,20589,181
Dec 25, 2020,700097,700097,7259,108946,20847,20847,258
Dec 26, 2020,706837,706837,6740,109150,20994,20994,147
Dec 27, 2020,713365,713365,6528,108452,21237,21237,243
Dec 28, 2020,719219,719219,5854,107789,21452,21452,215
Dec 29, 2020,727122,727122,7903,108636,21703,21703,251
Dec 30, 2020,735124,735124,8002,109439,21944,21944,241
Dec 31, 2020,743198,743198,8074,109963,22138,22138,194
Jan 01, 2021,751270,751270,8072,111005,22329,22329,191
Jan 02, 2021,758473,758473,7203,110400,22555,22555,226
Jan 03, 2021,765350,765350,6877,110679,22734,22734,179
Jan 04, 2021,772103,772103,6753,110089,22911,22911,177
Jan 05, 2021,779548,779548,7445,110693,23109,23109,198
Jan 06, 2021,788402,788402,8854,112593,23296,23296,187
Jan 07, 2021,797723,797723,9321,114766,23520,23520,224
Jan 08, 2021,808340,808340,10617,117704,23753,23753,233
Jan 09, 2021,818386,818386,10046,120928,23947,23947,194
Jan 10, 2021,828026,828026,9640,122873,24129,24129,182
Jan 11, 2021,836718,836718,8692,123636,24343,24343,214
Jan 12, 2021,846765,846765,10047,126313,24645,24645,302
Jan 13, 2021,858043,858043,11278,129628,24951,24951,306
Jan 14, 2021,869600,869600,11557,133149,25246,25246,295
Jan 15, 2021,882418,882418,12818,138238,25484,25484,238
Jan 16, 2021,896642,896642,14224,143517,25767,25767,283
Jan 17, 2021,907929,907929,11287,145482,25987,25987,220
Jan 18, 2021,917015,917015,9086,144798,26282,26282,295
Jan 19, 2021,927380,927380,10365,146842,26590,26590,308
Jan 20, 2021,939948,939948,12568,149388,26857,26857,267
Jan 21, 2021,951651,951651,11703,151658,27203,27203,346
Jan 22, 2021,965283,965283,13632,156683,27453,27453,250
Jan 23, 2021,977474,977474,12191,158751,27664,27664,211
Jan 24, 2021,989262,989262,11788,162617,27835,27835,171
Jan 25, 2021,999256,999256,9994,161636,28132,28132,297
Jan 26, 2021,1012350,1012350,13094,163526,28468,28468,336
Jan 27, 2021,1024298,1024298,11948,164113,28855,28855,387
Jan 28, 2021,1037993,1037993,13695,166540,29331,29331,476
Jan 29, 2021,1051795,1051795,13802,170017,29518,29518,187
Jan 30, 2021,1066313,1066313,14518,174083,29728,29728,210
Jan 31, 2021,1078314,1078314,12001,175095,29998,29998,270
Feb 01, 2021,1089308,1089308,10994,175349,30277,30277,279
Feb 02, 2021,1099687,1099687,10379,172576,30581,30581,304
Feb 03, 2021,1111671,1111671,11984,175236,30770,30770,189
Feb 04, 2021,1123105,1123105,11434,174798,31001,31001,231
Feb 05, 2021,1134854,1134854,11749,176672,31202,31202,201
Feb 06, 2021,1147010,1147010,12156,176433,31393,31393,191
Feb 07, 2021,1157837,1157837,10827,176291,31556,31556,163
Feb 08, 2021,1166079,1166079,8242,171288,31763,31763,207
Feb 09, 2021,1174779,1174779,8700,169351,31976,31976,213
Feb 10, 2021,1183555,1183555,8776,168416,32167,32167,191
Feb 11, 2021,1191990,1191990,8435,166492,32381,32381,214
Feb 12, 2021,1201859,1201859,9869,165086,32656,32656,275
Feb 13, 2021,1210703,1210703,8844,161731,32936,32936,280
Feb 14, 2021,1217468,1217468,6765,159012,33183,33183,247
Feb 15, 2021,1223930,1223930,6462,158498,33367,33367,184
Feb 16, 2021,1233959,1233959,10029,160689,33596,33596,229
Feb 17, 2021,1243646,1243646,9687,162182,33788,33788,192
Feb 18, 2021,1252685,1252685,9039,160494,33969,33969,181
Feb 19, 2021,1263299,1263299,10614,160142,34152,34152,183
Feb 20, 2021,1271353,1271353,8054,158197,34316,34316,164
Feb 21, 2021,1278653,1278653,7300,157088,34489,34489,173
Feb 22, 2021,1288833,1288833,10180,157148,34691,34691,202
Feb 23, 2021,1298608,1298608,9775,158604,35014,35014,323
Feb 24, 2021,1306141,1306141,7533,158162,35254,35254,240
Feb 25, 2021,1314634,1314634,8493,157705,35518,35518,264
Feb 26, 2021,1322866,1322866,8232,158408,35786,35786,268
Feb 27, 2021,1329074,1329074,6208,157039,35981,35981,195
Feb 28, 2021,1334634,1334634,5560,155765,36166,36166,185
Mar 01, 2021,1341314,1341314,6680,153074,36325,36325,159
Mar 02, 2021,1347026,1347026,5712,149645,36518,36518,193
Mar 03, 2021,1353834,1353834,6808,147197,36721,36721,203
Mar 04, 2021,1361098,1361098,7264,147845,36897,36897,176
Mar 05, 2021,1368069,1368069,6971,148356,37026,37026,129
Mar 06, 2021,1373836,1373836,5767,147172,37154,37154,128
Mar 07, 2021,1379662,1379662,5826,147740,37266,37266,112
Mar 08, 2021,1386556,1386556,6894,145628,37547,37547,281
Mar 09, 2021,1392945,1392945,6389,144311,37757,37757,210
Mar 10, 2021,1398578,1398578,5633,144213,37932,37932,175
Mar 11, 2021,1403722,1403722,5144,141070,38049,38049,117
Mar 12, 2021,1410134,1410134,6412,140451,38229,38229,180
Mar 13, 2021,1414741,1414741,4607,138942,38329,38329,100
Mar 14, 2021,1419455,1419455,4714,137912,38426,38426,97
Mar 15, 2021,1425044,1425044,5589,136524,38573,38573,147
Mar 16, 2021,1430458,1430458,5414,134042,38753,38753,180
Mar 17, 2021,1437283,1437283,6825,131695,38915,38915,162
Mar 18, 2021,1443853,1443853,6570,131753,39142,39142,227
Mar 19, 2021,1450132,1450132,6279,131828,39339,39339,197
Mar 20, 2021,1455788,1455788,5656,131616,39447,39447,108
Mar 21, 2021,1460184,1460184,4396,129844,39550,39550,103
Mar 22, 2021,1465928,1465928,5744,128250,39711,39711,161
Mar 23, 2021,1471225,1471225,5297,126439,39865,39865,154
Mar 24, 2021,1476452,1476452,5227,123926,39983,39983,118
Mar 25, 2021,1482559,1482559,6107,125279,40081,40081,98
Mar 26, 2021,1487541,1487541,4982,124497,40166,40166,85
Mar 27, 2021,1492002,1492002,4461,124517,40364,40364,198
Mar 28, 2021,1496085,1496085,4083,124236,40449,40449,85
Mar 29, 2021,1501093,1501093,5008,123694,40581,40581,132
Mar 30, 2021,1505775,1505775,4682,122326,40754,40754,173
Mar 31, 2021,1511712,1511712,5937,122524,40858,40858,104
Apr 01, 2021,1517854,1517854,6142,121222,41054,41054,196
Apr 02, 2021,1523179,1523179,5325,121011,41151,41151,97
Apr 03, 2021,1527524,1527524,4345,120068,41242,41242,91
Apr 04, 2021,1534255,1534255,6731,116709,41669,41669,427
Apr 05, 2021,1537967,1537967,3712,114475,41815,41815,146
Apr 06, 2021,1542516,1542516,4549,114566,41977,41977,162
Apr 07, 2021,1547376,1547376,4860,113570,42064,42064,87
Apr 08, 2021,1552880,1552880,5504,111271,42227,42227,163
Apr 09, 2021,1558145,1558145,5265,110138,42348,42348,121
Apr 10, 2021,1562868,1562868,4723,111137,42443,42443,95
Apr 11, 2021,1566995,1566995,4127,109958,42530,42530,87
Apr 12, 2021,1571824,1571824,4829,109372,42656,42656,126
Apr 13, 2021,1577526,1577526,5702,108599,42782,42782,126
Apr 14, 2021,1583182,1583182,5656,108384,42906,42906,124
Apr 15, 2021,1589359,1589359,6177,108032,43073,43073,167
Apr 16, 2021,1594722,1594722,5363,107297,43196,43196,123
Apr 17, 2021,1599763,1599763,5041,106243,43328,43328,132
Apr 18, 2021,1604348,1604348,4585,105859,43424,43424,96
Apr 19, 2021,1609300,1609300,4952,104319,43567,43567,143
Apr 20, 2021,1614849,1614849,5549,102930,43777,43777,210
Apr 21, 2021,1620569,1620569,5720,101106,44007,44007,230
Apr 22, 2021,1626812,1626812,6243,101191,44172,44172,165
Apr 23, 2021,1632248,1632248,5436,100533,44346,44346,174
Apr 24, 2021,1636792,1636792,4544,99970,44500,44500,154
Apr 25, 2021,1641194,1641194,4402,100474,44594,44594,94
Apr 26, 2021,1647138,1647138,5944,100652,44771,44771,177
Apr 27, 2021,1651794,1651794,4656,100256,44939,44939,168
Apr 28, 2021,1657035,1657035,5241,100502,45116,45116,177
Apr 29, 2021,1662868,1662868,5833,100102,45334,45334,218
Apr 30, 2021,1668368,1668368,5500,100213,45521,45521,187
May 01, 2021,1672880,1672880,4512,100250,45652,45652,131
May 02, 2021,1677274,1677274,4394,100760,45796,45796,144
May 03, 2021,1682004,1682004,4730,100564,45949,45949,153
May 04, 2021,1686373,1686373,4369,99087,46137,46137,188
May 05, 2021,1691658,1691658,5285,98217,46349,46349,212
May 06, 2021,1697305,1697305,5647,98277,46496,46496,147
May 07, 2021,1703632,1703632,6327,98546,46663,46663,167
May 08, 2021,1709762,1709762,6130,99003,46842,46842,179
May 09, 2021,1713684,1713684,3922,98395,47012,47012,170
May 10, 2021,1718575,1718575,4891,96742,47218,47218,206
May 11, 2021,1723596,1723596,5021,95924,47465,47465,247
May 12, 2021,1728204,1728204,4608,95709,47617,47617,152
May 13, 2021,1731652,1731652,3448,94857,47716,47716,99
May 14, 2021,1734285,1734285,2633,93576,47823,47823,107
May 15, 2021,1736670,1736670,2385,91636,47967,47967,144
May 16, 2021,1739750,1739750,3080,90800,48093,48093,126
May 17, 2021,1744045,1744045,4295,89129,48305,48305,212
May 18, 2021,1748230,1748230,4185,87514,48477,48477,172
May 19, 2021,1753101,1753101,4871,87829,48669,48669,192
May 20, 2021,1758898,1758898,5797,88439,48887,48887,218
May 21, 2021,1764644,1764644,5746,89429,49073,49073,186
May 22, 2021,1769940,1769940,5296,91240,49205,49205,132
May 23, 2021,1775220,1775220,5280,92847,49328,49328,123
May 24, 2021,1781127,1781127,5907,93393,49455,49455,127
May 25, 2021,1786187,1786187,5060,94486,49627,49627,172
May 26, 2021,1791221,1791221,5034,96187,49771,49771,144
May 27, 2021,1797499,1797499,6278,98405,49907,49907,136
May 28, 2021,1803361,1803361,5862,98704,50100,50100,193
May 29, 2021,1809926,1809926,6565,99690,50262,50262,162
May 30, 2021,1816041,1816041,6115,101639,50404,50404,142
May 31, 2021,1821703,1821703,5662,102006,50578,50578,174
Jun 01, 2021,1826527,1826527,4824,101325,50723,50723,145
Jun 02, 2021,1831773,1831773,5246,100364,50908,50908,185
